"","N","Nmiss","Nmiss_pct","sum","avg","meidan.50%","std","var","range","pctl.0%","pctl.1%","pctl.5%","pctl.10%","pctl.25%","pctl.50%","pctl.75%","pctl.90%","pctl.95%","pctl.99%","pctl.100%"
"unique_id",347841,0,0,NA,173921,173921,100413.191830058,10082809093.5,347840,1,3479.4,17393,34785,86961,173921,260881,313057,330449,344362.6,347841
"metric1",347841,0,0,1296620,3.72762267817767,0,15.3403753402276,235.327115579063,182,0,0,0,0,0,0,0,6,22,87,182
"metric2",347841,0,0,433769,1.24703240848549,1,0.742563173546771,0.551400066707852,22,1,1,1,1,1,1,1,2,3,5,23
"metric6",347841,0,0,1386361,3.98561699167148,2,8.26620176027299,68.3300915415403,499,0,1,1,1,1,2,4,8,12,33,499
"metric3",347841,0,0,22408774.042692,64.4224632596273,0,156.487372628021,24488.2977920212,5218,0,0,0,0,0,0,62,184.3103448,300.5,768,5218
"metric4",347841,0,0,74999172.8590435,215.613377546188,9,516.421616162288,266691.28563967,15960,0,0,0,0,0,9,210,612.5,1112.666667,2492,15960
"metric5",347841,0,0,16353764.3928611,47.0150568589128,20,48.4734266363458,2349.67308986919,100,0,0,0,0,0,20,100,100,100,100,100
"binary_var1",347841,0,0,78134,0.224625619176578,0,0.417336136827163,0.17416945110182,1,0,0,0,0,0,0,0,1,1,1,1
"dayHourMinute",347841,0,0,7.0163179328e+16,201710492230.646,2.0171e+11,499940.352122225,249940355680.094,1e+06,2.0171e+11,2.0171e+11,2.0171e+11,2.0171e+11,2.0171e+11,2.0171e+11,2.01711e+11,2.01711e+11,2.01711e+11,2.01711e+11,2.01711e+11
"binary_var2",347841,0,0,117027,0.336438200212166,0,0.47249145967008,0.223248179461163,1,0,0,0,0,0,0,1,1,1,1,1
"page1_top",347841,0,0,279606.241367403,0.803833479570848,0,19.0648037883385,363.466743487848,1772,0,0,0,0,0,0,0,0,0,5.71666666679806,1772
"page1_exits",347841,0,0,-340217,-0.978081939736834,-1,0.190618400533911,0.0363353746221066,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4
"visited_page1",347841,0,0,5197,0.0149407344160119,0,0.121315914793846,0.0147175511822677,1,0,0,0,0,0,0,0,0,0,1,1
"page2_top",347841,0,0,2924.826649781,0.00840851610299245,0,1.41925445691948,2.01428321348581,475,0,0,0,0,0,0,0,0,0,0,475
"page2_exits",347841,0,0,-347744,-0.999721136956253,-1,0.0292192245199186,0.000853763081545413,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
"visited_page2",347841,0,0,37,0.000106370439367412,0,0.0103130708553415,0.000106359430467294,1,0,0,0,0,0,0,0,0,0,0,1
"page3_top",347841,0,0,2102876.76529454,6.04551149891628,0,54.2898396281611,2947.38668685145,2891,0,0,0,0,0,0,0,0,10,146.918055559999,2891
"page3_exits",347841,0,0,-302437,-0.869469096512487,-1,0.470035227820518,0.220933115392286,15,-1,-1,-1,-1,-1,-1,-1,-1,0,1,14
"visited_page3",347841,0,0,28672,0.0824284658795254,0,0.275016783726677,0.0756342313313659,1,0,0,0,0,0,0,0,0,1,1,1
"page4_top",347841,0,0,301708.386417648,0.867374422272383,0,17.6553488783967,311.711344017903,1867,0,0,0,0,0,0,0,0,0,6,1867
"page4_exits",347841,0,0,-338638,-0.973542509364911,-1,0.211349377653373,0.044668559434468,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4
"visited_page4",347841,0,0,6020,0.0173067579727519,0,0.130411974124567,0.0170072829950668,1,0,0,0,0,0,0,0,0,0,1,1
"page5_top",347841,0,0,51757.313003783,0.148795895261867,0,9.38646956469661,88.1058108889758,1870,0,0,0,0,0,0,0,0,0,0,1870
"page5_exits",347841,0,0,-346854,-0.997162496657956,-1,0.0690027736708319,0.00476138277426805,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
"visited_page5",347841,0,0,666,0.00191466790861342,0,0.0437150711920273,0.00191100744932401,1,0,0,0,0,0,0,0,0,0,0,1
"page6_top",347841,0,0,11682318.6047554,33.585226022106,0,122.402666223772,14982.4126986882,9246,0,0,0,0,0,0,3,85,182,581,9246
"page6_exits",347841,0,0,-84774,-0.243714800727919,-1,0.958594436209684,0.918903293132163,11,-1,-1,-1,-1,-1,-1,1,1,1,2,10
"visited_page6",347841,0,0,154534,0.444266202086586,0,0.496884748771049,0.246894453561268,1,0,0,0,0,0,0,1,1,1,1,1
"target",347841,0,0,31805,0.0914354547048795,0,0.288227776522143,0.0830752511588985,1,0,0,0,0,0,0,0,0,1,1,1
